1312,-1,51819
1895,-15,51819
2415,-12,51819
2963,-15,51818
3510,-19,51813
4090,-14,51806
4631,-14,51799
5147,-16,51792
5756,-16,51782
6300,-18,51773
6818,-19,51763
7368,-19,51754
7883,-18,51745
8436,-17,51736
8952,-18,51729
9505,-18,51721
10020,-19,51716
10570,-16,51711
11086,-24,51706
11628,-23,51702
12175,-16,51699
12750,-18,51696
13296,-21,51695
13815,-19,51694
14362,-16,51694
14909,-20,51693
15491,-23,51692
16039,-25,51692
16551,-32,51690
17099,-20,51688
17640,-18,51685
18156,-24,51681
18764,-16,51676
19309,-17,51670
19893,-21,51663
20440,-13,51657
20956,-13,51650
21506,-21,51643
22021,-15,51635
22572,-11,51627
23088,-17,51619
23632,-26,51611
24147,-14,51604
24757,-29,51596
25304,-26,51589
25888,-14,51583
26441,-17,51579
26956,-15,51574
27508,-26,51570
28024,-23,51567
28573,-21,51563
29088,-13,51559
29629,-17,51555
30177,-26,51550
30752,-24,51544
31296,-13,51537
31815,-16,51530
32364,-17,51523
32912,-15,51515
33497,-23,51506
34045,-20,51498
34620,-31,51488
35168,-12,51480
35775,-15,51470
36290,-8,51463
36845,-12,51456
37431,-23,51448
37978,-23,51441
38564,-11,51433
39111,-18,51426
39686,-12,51418
40233,-19,51411
40817,-16,51402
41367,-28,51395
41882,-25,51387
42436,-22,51379
42952,-12,51370
43505,-25,51361
44020,-17,51351
44570,-22,51339
45085,-13,51328
45627,-15,51317
46175,-18,51306
46751,-11,51292
47296,-15,51279
47815,-22,51265
48363,-16,51251
48910,-11,51236
49492,-16,51222
50040,-21,51208
50558,-21,51195
51106,-22,51183
51712,-27,51170
52288,-22,51158
52843,-22,51149
53361,-23,51142
53909,-20,51136
54430,-31,51131
54977,-22,51125
55562,-21,51120
56110,-16,51115
56685,-12,51109
57233,-22,51104
57816,-23,51096
58367,-24,51090
58882,-24,51083
59436,-20,51075
59952,-21,51068
60505,-17,51059
61020,-21,51051
61570,-16,51042
62086,-20,51031
62628,-21,51022
63175,-15,51011
63752,-16,50998
64297,-22,50986
64816,-11,50973
